RecordID_Int,ParcelNumber,StreetNumber,StreetName,Unit,UseCode,Style,Grade,Roof,Flooring,Heating,Fireplace,YearBuilt,TotalRooms,Bedrooms,HalfBathrooms,FullBathrooms,BasementGarage,Basement,FinishedBasement,BasementType,ExternalWalls,NumberOfStories,SquareFootageFinishedLiving
2035,170018001,0,MAURY AVE,,Vacant Land,No data,No data,No data,No data,No data,No dat,,No dat,No dat,No dat,No dat,No dat,0,0,No data,No data,No dat,
2036,170018002,0,MAURY AVE,,Vacant Land,No data,No data,No data,No data,No data,No dat,,No dat,No dat,No dat,No dat,No dat,0,0,No data,No data,No dat,
2037,170018004,0,STADIUM RD,,Vacant Land,No data,No data,No data,No data,No data,No dat,,No dat,No dat,No dat,No dat,No dat,0,0,No data,No data,No dat,
2038,170018005,,STADIUM RD,,Vacant Land,No data,No data,No data,No data,No data,No dat,,No dat,No dat,No dat,No dat,No dat,0,0,No data,No data,No dat,
2039,170018006,,STADIUM RD,,Vacant Land,No data,No data,No data,No data,No data,No dat,,No dat,No dat,No dat,No dat,No dat,0,0,No data,No data,No dat,
2040,170018100,2307,PRICE AVE,,Single Family-1 Conversion,2 Story,B +,Architectural Shingles,Hardwood,Heat Pump,No dat,2014,10,4,1,3,No dat,,,No Basement,Hardy Board,2.00,2826
2041,170018100,2307,PRICE AVE,,Single Family-1 Conversion,1 Story,B,Architectural Shingles,W/W Carpet,Heat Pump,No dat,2014,3,1,No dat,1,No dat,,,No Basement,Hardy Board,1,360
2042,170018200,2305,PRICE AVE,,Single Family,2 Story,B +,Architectural Shingles,Hardwood,Heat Pump,1,2017,9,4,1,3,No dat,1565,391,Full Basement,Hardy Board,2,2672
2043,170018300,2303,PRICE AVE,,Single Family,1.5 Story,B++,Architectural Shingles,Hardwood,Heat Pump,No dat,2015,6,3,1,2,No dat,,,No Basement,Hardy Board,1.5,1835
2044,170018400,0,STADIUM RD,,Vacant Land,No data,No data,No data,No data,No data,No dat,,No dat,No dat,No dat,No dat,No dat,0,0,No data,No data,No dat,
2045,170018500,0,STADIUM RD,,Vacant Land,No data,No data,No data,No data,No data,No dat,,No dat,No dat,No dat,No dat,No dat,0,0,No data,No data,No dat,
2046,170018600,0,STADIUM RD,,Vacant Land,Vacant Land,No data,No data,No data,No data,No dat,,No dat,No dat,No dat,No dat,No dat,,,No data,No data,No dat,
2047,170019000,2309,PRICE AVE,,Single Family,1.5 Story,C++,Architectural Shingles,Hardwood,Forced Air,1,1935,7,4,0,1,0,1024,,Partial Basement,Stucco,1.66,1916
2048,170020000,2311,PRICE AVE,,Single Family,2 Story (Avg),B++,Shingles,Hardwood,Heat Pump,1,1936,9,5,1,3,0,777,,Partial Basement,Stucco,2.00,2954
2049,170021000,2313,PRICE AVE,,Single Family-1 Conversion,2 Story (Avg),C++,Shingles,Hardwood,Hot Water Radiator,1,1935,12,5,0,3,0,780,780,Partial Basement,Stucco,2.00,1896
2050,170022000,2315,PRICE AVE,A&B,Duplex,1 Story,B,Shingles,Hardwood,Radiant,1,1959,8,3,0,2,0,1571,481,Full Basement,Brick Veneer,1.00,1571
2051,170022000,2315,PRICE AVE,A&B,Duplex,2 Story,C,Shingles,Hardwood,Heat Pump,No dat,2016,22,8,No dat,10,No dat,,,No Basement,Vinyl,2,3584
2052,170022001,2317,PRICE AVE,A&B,Duplex,2 Story,C,Architectural Shingles,Pre-Fab Wd,Heat Pump,No dat,2017,14,8,No dat,10,No dat,,,No Basement,Vinyl,2,3584
2053,170024000,2319,PRICE AVE,,Single Family,1 Story,C +,Shingles,Hardwood,Hot Water Radiator,1,1937,6,3,0,2,0,1704,480,Full Basement,Brick Veneer,1.00,1704
2054,170025000,2321,PRICE AVE,,Single Family,2 Story (Avg),C++,Shingles,Other,Hot Water Radiator,1,1935,7,3,0,2,0,672,,Partial Basement,Stucco,2.00,1704
2055,170026000,2323,PRICE AVE,,Duplex,1.5 Story,C,Architectural Shingles,Hardwood,Heat Pump,1,1925,7,5,0,3,0,800,,Partial Basement,Vinyl,1.50,1880
2056,170026A00,124,PIEDMONT AVE N,,Single Family,2 Sty No Bsmt,C -,Shingles,Hardwood,Heat Pump,0,2004,7,5,1,3,0,,,No Basement,Vinyl,2.00,2200
2057,170027000,2322,PRICE AVE,,Duplex,2 Story (Avg),C +,Architectural Shingles,Hardwood,Heat Pump,2,1939,15,9,0,7,0,684,379,Partial Basement,Stucco,2.00,3649
2058,170028000,2320,PRICE AVE,,Single Family-1 Conversion,2 Story (Avg),B,Metal,Hardwood,Forced Air,0,1925,11,7,No dat,5,0,816,,Partial Basement,Stucco,2.00,2856
2059,170029000,2318,PRICE AVE,,Single Family,1 Story,B,Architectural Shingles,Hardwood,Forced Air,1,1925,6,2,0,1,0,978,658,Full Basement,Aluminum,1.00,978
2060,170030000,2316,PRICE AVE,,Single Family,2 Story (Avg),B +,Architectural Shingles,Hardwood,Radiant,1,1925,8,4,1,3,0,501,,Partial Basement,Brick Veneer,1.00,2424
2061,170031000,2314,PRICE AVE,,Single Family-1 Conversion,1 Story,C++,Shingles,Hardwood,Forced Air,0,1954,8,3,0,2,0,939,818,Full Basement,Brick Veneer,1.00,939
2062,170032000,2312,PRICE AVE,,Duplex,2 Story,C++,Shingles,Hardwood,Heat Pump,0,1950,9,5,0,3,0,,,No Basement,Wood,2.00,3127
2063,170033000,2310,PRICE AVE,,Duplex,1.5 Story,C +,Shingles,Hardwood,Hot Water Radiator,1,1925,12,8,0,8,0,,,No Basement,Wood,1.50,4563
2064,170033100,2308,PRICE AVE,,Duplex,2 Story,C -,Shingles,None,Forced Air,0,2003,12,8,0,8,0,,,No Basement,Vinyl,2.00,4216
2065,170034000,0,PRICE AVE,,Vacant Land,,,,,,,,,,,,,0,0,,,,
2066,170035000,2306,PRICE AVE,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,1,1955,5,2,0,2,0,700,594,Partial Basement,Brick Veneer,1.00,1055
2067,170036000,2302,PRICE AVE,,Duplex,1 Story,B,Shingles,Hardwood,Floor Furnace,1,1920,4,2,0,1,0,,,No Basement,Aluminum,1.00,0
2068,170036000,2302,PRICE AVE,,Duplex,2 Story (Avg),C,Shingles,Hardwood,Heat Pump,No dat,2016,14,8,No dat,8,No dat,,,No Basement,Vinyl,2,3000
2069,170037000,2300,PRICE AVE,,Duplex,2 Story,B,Shingles,Other,Forced Air,0,1980,12,6,2,2,0,0,0,No Basement,Vinyl,2.00,2442
2070,170037000,2300,PRICE AVE,,Duplex,2 Story (Avg),C,Shingles,Pre-Fab Wd,Heat Pump,No dat,2017,14,8,No dat,8,No dat,,,No Basement,Vinyl,2,2900
2071,170037100,105,LEWIS ST,,Duplex,2 Sty No Bsmt,C,Shingles,Hardwood,Forced Air,0,1990,12,8,No dat,8,0,,,No Basement,Vinyl,2.00,2400
2072,170044000,2305,FONTAINE AVE,,Single Family,2 Story,C +,Architectural Shingles,Hardwood,Heat Pump,1,1921,6,4,0,5,0,756,,Partial Basement,Stucco,2.00,2012
2073,170045000,2307,FONTAINE AVE,,Single Family,1.5 Story,B,Shingles,W/W Carpet,Heat Pump,1,1929,8,4,1,1,0,420,,Cellar,Brick Veneer,1.75,1470
2074,170046000,2309,FONTAINE AVE,,Single Family,1.5 Story,C,Shingles,Hardwood,Hot Water Radiator,1,1930,10,4,1,2,0,936,,Partial Basement,Stucco,1.50,2591
2075,170047000,2311,FONTAINE AVE,,Duplex,1 Sty w/ Bsmt,B -,Metal,Hardwood,Forced Air,1,1935,5,2,0,2,0,1009,1009,Full Basement,Stucco,1.00,1009
2076,170048000,2313,FONTAINE AVE,,Single Family,2 Story,C++,Shingles,Hardwood,Hot Water Radiator,1,1935,6,3,0,2,0,683,,Partial Basement,Stucco,2.00,1686
2077,170049000,2315,FONTAINE AVE,,Single Family,2 Story,B -,Shingles,Hardwood,Floor Furnace,1,1924,6,3,0,1,0,576,,Full Basement,Stucco,2.00,1212
2078,170050000,2317,FONTAINE AVE,,Single Family-1 Conversion,1.5 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1939,10,5,0,2,0,1059,684,Full Basement,Stucco,1.50,1589
2079,170051000,2319,FONTAINE AVE,,Single Family,2 Story,C +,Shingles,Hardwood,Hot Water Radiator,1,1940,6,3,1,1,0,854,,Full Basement,Stucco,2.00,1582
2080,170052000,2321,FONTAINE AVE,,Single Family,1.5 Story,C +,Shingles,Hardwood,Forced Air,1,1952,5,2,1,2,0,725,311,Full Basement,Brick Veneer,1.50,1269
2081,170052000,2321,FONTAINE AVE,,Single Family,1 Story,D,Shingles,None,Gas Wall Unit,0,1951,4,2,0,1,0,,,No Basement,Concrete Block,1.00,528
2082,170053000,2323,FONTAINE AVE,,Single Family,2 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1941,7,3,1,2,0,884,712,Full Basement,Brick Veneer,2.00,1768
2083,170054000,2318,FONTAINE AVE,,Duplex,1 Story,C +,Shingles,Hardwood,Forced Air,1,1950,12,8,0,6,0,,,No Basement,Vinyl,1.00,4324
2084,170055000,2322,FONTAINE AVE,,Single Family,1.5 Story,C +,Shingles,Hardwood,Forced Air,1,1925,14,9,2,4,0,280,,Partial Basement,Wood,1.50,3852
2085,170056000,2324,FONTAINE AVE,,Single Family-1 Conversion,2 Story,B -,Shingles,Hardwood,Hot Water Radiator,0,1925,9,4,0,2,0,700,,Partial Basement,Stucco,2.00,1743
2086,170057000,2400,FONTAINE AVE,,Duplex,1 Story,C++,Shingles,Hardwood,Floor Furnace,0,1965,10,4,0,2,0,,,No Basement,Brick Veneer,1.00,1836
2087,170057100,103,PIEDMONT AVE S,,Duplex,1 Story,C,Shingles,Hardwood,Forced Air,0,1961,9,5,0,2,0,1049,1049,Full Basement,Wood,1.00,1049
2088,170057200,105,PIEDMONT AVE S,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,0,1961,6,3,0,2,0,1075,364,Full Basement,Brick Veneer,1.00,1075
2089,170057300,107,PIEDMONT AVE S,,Duplex,1 Story,C -,Shingles,Hardwood,Forced Air,0,1961,9,4,0,3,0,1368,377,Full Basement,Wood,1.00,1368
2090,170057400,109,PIEDMONT AVE S,,Single Family-1 Conversion,1 Story,C -,Shingles,Hardwood,Hot Water Radiator,0,1961,7,4,0,2,0,950,445,Full Basement,Wood,1.00,950
2091,170057500,111,PIEDMONT AVE S,,Single Family-1 Conversion,1 Story,C -,Shingles,Hardwood,Forced Air,0,1961,8,4,0,3,0,925,925,Full Basement,Vinyl,1.00,925
2092,170057600,113,PIEDMONT AVE S,,Duplex,1 Story,C -,Shingles,Hardwood,Forced Air,0,1961,10,5,0,2,0,913,913,Full Basement,Wood,1.00,913
2093,170057700,117,PIEDMONT AVE S,,Duplex,1 Story,C -,Shingles,Hardwood,Forced Air,0,1963,9,5,0,2,0,901,809,Full Basement,Vinyl,1.00,901
2094,1700577A0,115,PIEDMONT AVE S,,Duplex,2 Story,C -,Shingles,Hardwood,Heat Pump,0,2005,10,4,2,4,0,1200,,Full Basement,Vinyl,2.00,2340
2095,170058000,111,MONTPELIER ST,,Single Family,2 Story,C++,Shingles,Hardwood,Heat Pump,0,2008,7,4,1,4,0,,,No Basement,Wood,2.00,2776
2096,170058000,111,MONTPELIER ST,,Single Family,1 Story,C -,Shingles,Hardwood,Heat Pump,1,1939,5,2,0,1,0,771,,No Basement,Wood,1.00,690
2097,170059000,120,PIEDMONT AVE S,,Condominium,2 Story,C +,Architectural Shingles,,Heat Pump,,2022,6,4,,2,,0,0,No Basement,Hardy Board,2.0,1440
2098,170059001,113,MONTPELIER ST,,Condominium,2 Story,C +,,Pre-Fab Wd,Heat Pump,,2022,6,4,,2,,0,0,No Basement,,2.0,1440
2099,170060000,115,MONTPELIER ST,,Single Family,2 Story (Avg),C++,Architectural Shingles,Hardwood,Hot Water Radiator,1,1930,6,3,0,1,0,320,,Partial Basement,Stucco,2.00,1278
2100,170060001,124,PIEDMONT AVE S,,Condominium,,,,,,,,,,,,,0,0,,,,
2101,170060001,124,PIEDMONT AVE S,,Condominium,2 Story,C +,Architectural Shingles,Pre-Fab Wd,Heat Pump,,2022,6,4,,2,,0,0,No Basement,Hardy Board,2.0,1440
2102,170061000,128,PIEDMONT AVE S,,Condominium,2 Story,C +,Architectural Shingles,Pre-Fab Wd,Heat Pump,,2022,6,4,,2,,0,0,No Basement,Hardy Board,2,1440
2103,170061001,130,PIEDMONT AVE S,,Condominium,2 Story,C +,Architectural Shingles,Pre-Fab Wd,Heat Pump,,2022,6,4,,2,,0,0,No Basement,Hardy Board,2,1440
2104,170061100,132,PIEDMONT AVE S,,Condominium,2 Story,C +,Architectural Shingles,Pre-Fab Wd,Heat Pump,,2022,6,4,,2,,0,0,No Basement,Hardy Board,2,1440
2105,1700611A0,134,PIEDMONT AVE S,,Condominium,2 Story,C +,Architectural Shingles,Pre-Fab Wd,Heat Pump,,2022,6,4,,2,,0,0,No Basement,Hardy Board,2,1440
2106,170062000,114,MONTPELIER ST,,Single Family,1 Story,C++,Shingles,Hardwood,Heat Pump,0,1935,5,3,0,2,0,948,900,Full Basement,Stucco,1.00,948
2107,170063000,112,MONTPELIER ST,,Single Family,1 Story,D,Shingles,None,Gas Wall Unit,0,1953,1,0,0,1,0,,,No Basement,Concrete Block,1.00,240
2108,170064000,110,MONTPELIER ST,,Single Family,1 Sty No Bsmt,C +,Architectural Shingles,Hardwood,Heat Pump,1,1932,7,4,0,3,0,,,No Basement,Stucco,1.00,1440
2109,170065000,2316,FONTAINE AVE,,Single Family,2 Story,B,Architectural Shingles,Hardwood,Hot Water Radiator,1,1925,8,4,No dat,2,0,598,149,Partial Basement,Stucco,2.00,1576
2110,170065100,2314,FONTAINE AVE,,Single Family,1 Story,D,Shingles,Hardwood,Hot Water Radiator,0,1925,3,1,0,1,0,,,No Basement,Stucco,1.00,720
2111,170065A00,108,MONTPELIER ST,,Duplex,2 Story,B -,Architectural Shingles,W/W Carpet,Heat Pump,0,2006,9,5,1,3,0,,,No Basement,Hardy Board,2.00,2622
2112,170066000,2312,FONTAINE AVE,,Single Family-1 Conversion,1 Story,D -,Shingles,Hardwood,Gas Wall Unit,0,1935,4,1,0,1,0,,,No Basement,Wood,1.00,487
2113,170066000,2312,FONTAINE AVE,,Single Family-1 Conversion,1.5 Sty (Avg),C++,Metal,Hardwood,Hot Water Radiator,1,1934,9,5,0,3,0,1088,300,Full Basement,Stucco,1.50,1806
2114,170066100,2308,FONTAINE AVE,A&B,Duplex,2 Sty Attached,C,Shingles,None,Heat Pump,0,2007,14,8,0,4,0,,,No Basement,Vinyl,2.00,3060
2115,170067000,2306,FONTAINE AVE,,Single Family,2 Story,B -,Shingles,Hardwood,Heat Pump,No dat,2013,7,4,0,2,0,,,No Basement,Vinyl,2.00,1698
2116,170067000,2306,FONTAINE AVE,,Single Family,2 Story,C +,Shingles,Hardwood,Radiant,1,1930,7,4,0,2,0,784,312,Full Basement,Aluminum,2.00,1568
2117,170068000,2304,FONTAINE AVE,,Duplex,2 Story,C++,Shingles,Hardwood,Hot Water Radiator,0,1920,8,4,1,2,0,1097,,Full Basement,Stucco,2.00,1929
2118,170068000,2304,FONTAINE AVE,,Duplex,2 Story,B -,Shingles,None,Heat Pump,No dat,2012,7,4,1,2,0,,,No Basement,Vinyl,2.00,1740
2119,170069000,2302,FONTAINE AVE,,Duplex,1.5 Story,B,Shingles,Hardwood,Forced Air,1,1949,15,8,0,5,0,1620,1620,Full Basement,Wood,1.50,3944
2120,170070000,2300,FONTAINE AVE,,Duplex,2 Story,B,Shingles,Hardwood,Hot Water Radiator,2,1942,12,8,0,5,0,720,95,Partial Basement,Wood,2.00,3020
2121,170071000,107,LEWIS ST,,Vacant Land,,,,,,,,,,,,,0,0,,,,
2122,170080100,2100,JEFFERSON PARK AVE,1,Condominium,2 Story,C,Shingles,W/W Carpet,Forced Air,0,1973,5,3,0,2,,0,0,No Basement,Wood,2.00,908
2123,170080101,2100,JEFFERSON PARK AVE,10,Condominium,1 Story,C,Shingles,W/W Carpet,Forced Air,0,1973,5,3,0,2,,0,0,No Basement,Wood,1.00,876
2124,170080110,2100,JEFFERSON PARK AVE,11,Condominium,1 Story,C,Shingles,W/W Carpet,Forced Air,0,1973,5,3,0,2,,0,0,No Basement,Wood,1.00,876
2125,170080120,2100,JEFFERSON PARK AVE,12,Condominium,1 Story,C,Shingles,W/W Carpet,Forced Air,0,1973,5,3,0,2,,0,0,No Basement,Wood,1.00,854
2126,170080130,2104,JEFFERSON PARK AVE,A,Condominium,2 Story,C,Shingles,W/W Carpet,Forced Air,0,1978,5,3,0,2,,0,0,No Basement,Wood,2.00,928
2127,170080140,2104,JEFFERSON PARK AVE,B,Condominium,2 Story,C,Shingles,W/W Carpet,Forced Air,0,1978,5,3,0,2,,0,0,No Basement,Wood,2.00,916
2128,170080150,2104,JEFFERSON PARK AVE,C,Condominium,2 Story,C,Shingles,W/W Carpet,Forced Air,0,1978,5,3,0,2,,0,0,No Basement,Wood,2.00,916
2129,170080160,2104,JEFFERSON PARK AVE,D,Condominium,2 Story,C,Shingles,W/W Carpet,Heat Pump,0,1978,5,3,0,2,,0,0,No Basement,Wood,2.00,916
2130,170080170,2104,JEFFERSON PARK AVE,E,Condominium,2 Story,C,Shingles,W/W Carpet,Forced Air,0,1978,5,3,0,2,,0,0,No Basement,Wood,2.00,916
2131,170080180,2104,JEFFERSON PARK AVE,F,Condominium,2 Story,C,Shingles,W/W Carpet,Forced Air,0,1978,5,3,0,2,,0,0,No Basement,Wood,2.00,928
2132,170080190,2104,JEFFERSON PARK AVE,G,Condominium,1 Story,C,Shingles,W/W Carpet,Forced Air,0,1978,5,3,0,2,,0,0,No Basement,Wood,1.00,888
2133,170080200,2100,JEFFERSON PARK AVE,2,Condominium,2 Story,C,Shingles,W/W Carpet,Forced Air,0,1973,5,3,0,2,,0,0,No Basement,Wood,2.00,894
2134,170080201,2104,JEFFERSON PARK AVE,H,Condominium,1 Story,C,Shingles,W/W Carpet,Forced Air,0,1978,5,3,0,2,,0,0,No Basement,Wood,1.00,895
2135,170080210,2104,JEFFERSON PARK AVE,I,Condominium,1 Story,C,Shingles,W/W Carpet,Forced Air,0,1978,5,3,0,2,,0,0,No Basement,Wood,1.00,888
2136,170080300,2100,JEFFERSON PARK AVE,3,Condominium,2 Story,C,Shingles,W/W Carpet,Forced Air,0,1973,5,3,0,2,,0,0,No Basement,Wood,2.00,894
2137,170080400,2100,JEFFERSON PARK AVE,4,Condominium,2 Story,C,Shingles,W/W Carpet,Forced Air,0,1973,5,3,0,2,,0,0,No Basement,Wood,2.00,894
2138,170080500,2100,JEFFERSON PARK AVE,5,Condominium,2 Story,C,Shingles,W/W Carpet,Forced Air,0,1973,5,3,0,2,,0,0,No Basement,Wood,2.00,894
2139,170080600,2100,JEFFERSON PARK AVE,6,Condominium,2 Story,C,Shingles,W/W Carpet,Forced Air,0,1973,5,3,0,2,,0,0,No Basement,Wood,2.00,894
2140,170080700,2100,JEFFERSON PARK AVE,7,Condominium,2 Story,C,Shingles,W/W Carpet,Forced Air,0,1973,5,3,0,2,,0,0,No Basement,Wood,2.00,894
2141,170080800,2100,JEFFERSON PARK AVE,8,Condominium,2 Story,C,Shingles,W/W Carpet,Forced Air,0,1973,5,3,0,2,,0,0,No Basement,Wood,2.00,920
2142,170080900,2100,JEFFERSON PARK AVE,9,Condominium,1 Story,C,Shingles,W/W Carpet,Forced Air,0,1973,5,3,0,2,,0,0,No Basement,Wood,1.00,854
2143,170080A00,2100,JEFFERSON PARK AVE,,Condo Common Area,,,,,,,,,,,,,0,0,,,,
2144,170091100,100,CLARKE CT,,Single Family,1 Story,B,Shingles,Other,Floor Furnace,1,1955,5,3,0,1,0,267,,Partial Basement,Brick Veneer,1.00,1090
2145,170091100,100,CLARKE CT,,Single Family,2.5 Sty Superior,A++,Metal,Hardwood,Heat Pump,1,2018,10,5,1,5,0,920,0,Partial Basement,Brick/Masonry,3,5900
2146,170091300,102,CLARKE CT,,Single Family,1 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1953,5,3,0,2,0,0,0,No Basement,Brick Veneer,1.00,1450
2147,170094000,129,OBSERVATORY AVE,,Single Family,2 Story,B++,Architectural Shingles,Hardwood,Forced Air,1,1925,9,4,0,2,0,567,,Partial Basement,Brick Veneer,2.00,1403
2148,170095000,127,OBSERVATORY AVE,,Single Family,2 Story,B -,Architectural Shingles,Hardwood,Hot Water Radiator,1,1920,6,3,0,1,0,,,No Basement,Stucco,2.00,1152
2149,170096000,125,OBSERVATORY AVE,,Single Family,1.5 Story,B -,Shingles,Hardwood,Hot Water Radiator,1,1926,5,3,0,2,0,480,,Partial Basement,Stucco,1.50,1469
2150,170097000,123,OBSERVATORY AVE,,Single Family,1 Story,B -,Shingles,Hardwood,Forced Air,1,1925,6,3,0,1,0,224,,Partial Basement,Stucco,1.00,1144
2151,170098000,119,OBSERVATORY AVE,,Single Family,1 Story,B -,Shingles,Hardwood,Hot Water Radiator,1,1930,5,2,0,1,0,504,,Partial Basement,Brick Veneer,1.00,1048
2152,170099000,116,OBSERVATORY AVE,,Single Family,1 Story,C++,Shingles,Hardwood,Forced Air,No dat,1930,5,2,0,1,0,,,No Basement,Stucco,1.00,1080
2153,170100000,114,OBSERVATORY AVE,,Duplex,1.5 Story,B -,Shingles,Hardwood,Heat Pump,1,1925,10,5,1,5,3,1016,,Partial Basement,Brick Veneer,1.50,2680
2154,170101000,109,OBSERVATORY AVE,,Duplex,2 Story,B,Shingles,Hardwood,Forced Air,No dat,1925,11,7,0,3,0,422,,Partial Basement,Brick Veneer,2.00,2556
2155,170102000,105,OBSERVATORY AVE,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,1,1925,5,2,0,1,0,336,,Partial Basement,Brick Veneer,1.00,1260
2156,170103000,104,OBSERVATORY AVE,,Single Family,1 Story,B,Shingles,Hardwood,Radiant,1,1948,5,3,0,2,0,,,No Basement,Brick Veneer,1.00,1544
2157,170105000,116,WASHINGTON AVE,,Single Family,1.5 Story,B++,Shingles,Hardwood,Hot Water Radiator,1,1944,9,5,1,2,0,,,No Basement,Stone,1.75,2514
2158,170106000,111,OBSERVATORY AVE,,Single Family,1 Sty w/ Bsmt,B,Architectural Shingles,Hardwood,Forced Air,1,1930,5,2,0,1,0,963,,Full Basement,Stucco,1.00,963
2159,170107000,113,OBSERVATORY AVE,,Single Family,1 Story,B,Shingles,Hardwood,Floor Furnace,1,1930,4,2,0,1,0,941,,Full Basement,Stucco,1.00,941
2160,170108000,124,OBSERVATORY AVE,,Single Family,1.5 Story,B -,Shingles,Hardwood,Hot Water Radiator,1,1928,10,6,0,3,0,952,492,Full Basement,Brick Veneer,1.75,1616
2161,170109000,126,OBSERVATORY AVE,,Single Family-1 Conversion,1.5 Story,B -,Metal,Hardwood,Hot Water Radiator,1,1925,7,3,0,2,0,880,752,Full Basement,Brick Veneer,1.50,1320
2162,170110000,128,OBSERVATORY AVE,,Single Family-1 Conversion,2 Story,B,Slate,Hardwood,Hot Water Radiator,1,1933,6,3,0,3,0,715,172,Partial Basement,Brick Veneer,2.00,1768
2163,170111000,130,OBSERVATORY AVE,,Single Family,2 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1929,10,6,0,4,0,939,939,Partial Basement,Stucco,2.00,1986
2164,170112000,2002,STADIUM RD,,Single Family,1.5 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1940,5,2,1,1,0,891,,Full Basement,Brick Veneer,1.70,1559
2165,170113000,2000,STADIUM RD,,Single Family,2 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1942,6,3,1,1,0,682,,Full Basement,Wood,2.00,1364
2166,170113000,2000,STADIUM RD,,Single Family,2 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1942,6,3,1,1,0,682,,Full Basement,Wood,2.00,1364
2167,170113000,2000,STADIUM RD,,Single Family,1 Story,C,Shingles,W/W Carpet,Forced Air,0,1942,3,1,0,1,0,528,,Full Basement,Concrete Block,1.00,528
2168,170113000,2000,STADIUM RD,,Single Family,1 Story,C,Shingles,W/W Carpet,Forced Air,0,1942,3,1,0,1,0,528,,Full Basement,Concrete Block,1.00,528
2169,170114000,122,WASHINGTON AVE,,Single Family,1.5 Story,C +,Shingles,Hardwood,Hot Water Radiator,1,1939,7,3,1,1,0,,,No Basement,Wood,1.50,1678
2170,170115000,120,WASHINGTON AVE,,Single Family,1.5 Story,C -,Shingles,Hardwood,Hot Water Radiator,1,1942,6,3,0,2,0,,,No Basement,Asbestos,1.50,1307
2171,170116000,118,WASHINGTON AVE,,Single Family,1.5 Story,B +,Shingles,Hardwood,Hot Water Radiator,1,1937,6,2,0,2,0,270,,Partial Basement,Brick Veneer,1.66,1477
2172,170555000,0,UNKNOWN,,Vacant Land,,,,,,,,,,,,,0,0,,,,
2173,17A001000,130,SUMMIT ST,,Vacant Land,No Style,C,N/A,None,Not Applicable,0,0,0,0,0,0,0,,,N/A,Not Applicable,0,728
2174,17A001000,130,SUMMIT ST,,Vacant Land,,,,,,,,,,,,,0,0,,,,
2175,17A002000,128,SUMMIT ST,,Single Family,1 Story,D,Shingles,Hardwood,Floor Furnace,0,1946,4,2,0,1,0,,,No Basement,Asbestos,1.00,675
2176,17A003000,126,SUMMIT ST,A&B,Duplex,2 Story,C++,Shingles,Hardwood,Heat Pump,No dat,2016,16,8,No dat,4,No dat,,,No Basement,Hardy Board,2,3234
2177,17A004000,124,SUMMIT ST,A&B,Duplex,2 Story,C++,Shingles,Hardwood,Heat Pump,No dat,2016,16,8,No dat,4,No dat,,,No Basement,Hardy Board,2,3234
2178,17A005000,122,SUMMIT ST,,Duplex,1 Story,C,Shingles,Hardwood,Hot Water Radiator,1,1949,8,5,No dat,2,0,988,988,Full Basement,Aluminum,1.00,1209
2179,17A006000,120,SUMMIT ST,A&B,Duplex,2 Sty Attached,C,Shingles,W/W Carpet,Heat Pump,0,2009,12,6,2,3,0,,,No Basement,Vinyl,2.00,4032
2180,17A007000,118,SUMMIT ST,,Single Family,1.5 Story,C,Shingles,Hardwood,Hot Water Radiator,0,1946,5,3,0,2,0,575,,Partial Basement,Vinyl,1.50,1263
2181,17A008000,116,SUMMIT ST,,Single Family,1 Story,C,Shingles,Hardwood,Hot Water Radiator,0,1947,6,4,0,1,0,924,,Full Basement,Aluminum,1.00,1229
2182,17A010000,112,SUMMIT ST,,Single Family,1 Story,C,Shingles,Hardwood,Hot Water Radiator,0,1948,6,4,0,1,0,912,,Partial Basement,Wood,1.00,1632
2183,17A014000,2420,FONTAINE AVE,,Fire Station (staff),1 Story,C,Shingles,Hardwood,Hot Water Radiator,0,1955,8,4,0,2,0,1057,692,Full Basement,Brick Veneer,1.00,1057
2184,17A014000,2420,FONTAINE AVE,,Fire Station (staff),,,,,,,,,,,,,0,0,,,,
2185,17A015000,101,SUMMIT ST,,Duplex,2 Story,C,Shingles,Vinyl,Heat Pump,0,1980,14,8,2,2,0,,,No Basement,Wood,2.00,2464
2186,17A015100,2508,FONTAINE AVE,,Duplex,2 Sty Attached,C,Architectural Shingles,Hardwood,Heat Pump,1,1980,14,6,2,2,0,,,No Basement,Vinyl,2.00,2444
2187,17A016000,103,SUMMIT ST,,Single Family-2 Conversion,1.5 Story,C +,Shingles,Hardwood,Hot Water Radiator,1,1945,7,4,0,3,0,442,,Partial Basement,Brick Veneer,1.75,2622
2188,17A018000,2511,PLATEAU RD,,Duplex,2 Story,C,No data,No data,No data,No dat,,No dat,No dat,No dat,No dat,No dat,,,No data,No data,No dat,0
2189,17A018000,2511,PLATEAU RD,,Duplex,2 Story,C,Shingles,Hardwood,Heat Pump,0,2013,14,10,0,10,0,,,No Basement,Vinyl,2.00,4032
